Wipe on entire surface
timestamp_ms,raw_adc,voltage_v
1426377,13507,0.680
1427377,13491,0.679
1428377,13507,0.680
1429377,13459,0.678
1430377,13395,0.675

Entire surface wiped
timestamp_ms,raw_adc,voltage_v
1413767,18148,0.914
1414767,12723,0.641
1415767,17108,0.861
1416767,18740,0.944
1417767,21493,1.082

Half wiped down with wet wipe
timestamp_ms,raw_adc,voltage_v
1398977,26758,1.347
1399977,5729,0.288
1400977,21765,1.096
1401977,20853,1.050
1402977,23349,1.176

Blowing on it
timestamp_ms,raw_adc,voltage_v
1382737,61054,3.074
1383737,61839,3.114
1384737,65535,3.300
1385737,34616,1.743
1386737,38073,1.917

Completely Dry
timestamp_ms,raw_adc,voltage_v
1356167,65535,3.300
1357168,65535,3.300
1358168,65535,3.300
1359168,65535,3.300
1360168,65535,3.300
